Timestamp,TestTime / s,Voltage / V,Remaining Capacity / Wh
2024-12-09 20:39:04.029133,0.034079,16.573,65.62
2024-12-09 20:39:05.045005,1.049951,16.573,65.62
2024-12-09 20:39:06.070216,2.075162,16.573,65.62
2024-12-09 20:39:07.085819,3.090765,16.573,65.62
2024-12-09 20:39:08.109048,4.113994,16.573,65.62
2024-12-09 20:39:09.135255,5.140201,16.573,65.62
2024-12-09 20:39:10.161280,6.166226,16.573,65.62
2024-12-09 20:39:11.196729,7.201675,16.573,65.62
2024-12-09 20:39:12.234945,8.239891,16.573,65.62
2024-12-09 20:39:13.250143,9.255089,16.573,65.62
